gender,age_group,occupation,Intl_students,degree,fvt_social_media_platform,usage_reason,usage_time,device,interaction,preferred_content,watched_livestream,watched_livestream_frequency,avg_watch_time_livestream,emotional_fullfillment,svp_discovery_method,content_personalization,purchased_product,purchase_frequency,follow_influencers,influencer_inspired_travel ,influencer_inspired_travel _frequency,influencer_travel_trust_score
Female,25-34,Employed,No,,Other,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Comedy and Entertainment, Movies, TV Shows, and Animation, Educational Content",No,4 or more times a day,Less than 15 minutes,Sometimes,"Via social shares by friends or family, By searching for specific content",3,Yes,Once a month,No,No,Once,Neutral
Male,25-34,Employed,No,Undergraduate,Instagram,Learning and Education,Afternoon (12 pm - 5 pm),Smartphone,Like,"Sports and Fitness, Daily Vlogs and Lifestyle, Fashion and Beauty",No,Once a week,30 minutes to 1 hour,No,"Through platform recommendations, By searching for specific content",4,No,2-3 times a month,No,No,Once,Neutral
Male,25-34,Employed,No,Undergraduate,Instagram,Learning and Education,Afternoon (12 pm - 5 pm),Smartphone,Like,"Sports and Fitness, Daily Vlogs and Lifestyle, Fashion and Beauty",No,Once a week,30 minutes to 1 hour,No,"Through platform recommendations, By searching for specific content",4,No,2-3 times a month,No,No,Once,Neutral
Female,25-34,Employed,,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment",Yes,Once a month,Less than 15 minutes,Sometimes,Through platform recommendations,3,No,,Yes,Yes,2-3 times,Somewhat likely
Male,25-34,Employed,,,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Food and Travel, Sports and Fitness, Comedy and Entertainment, Daily Vlogs and Lifestyle, Fashion and Beauty, Movies, TV Shows, and Animation, Educational Content, Technology and Gaming",Yes,2-3 times a day,More than 1 hours,Sometimes,Through platform recommendations,4,Yes,Once a month,Yes,No,,Neutral
Male,25-34,Employed,,,YouTube (shorts),Entertainment and Leisure,Afternoon (12 pm - 5 pm),Smartphone,Like,Food and Travel,Yes,Once a month,30 minutes to 1 hour,Sometimes,"Through platform recommendations, Via social shares by friends or family, By searching for specific content, By exploring trending sections",3,No,,No,No,,Neutral
Male,25-34,Employed,,,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Sports and Fitness, Comedy and Entertainment, Technology and Gaming",No,,,No,"Through platform recommendations, By searching for specific content",4,No,,Yes,No,,Somewhat likely
Female,35-44,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Comedy and Entertainment, Fashion and Beauty, Educational Content",Yes,Once a day,30 minutes to 1 hour,Sometimes,"Via social shares by friends or family, By searching for specific content, By exploring trending sections",3,No,,No,No,,Somewhat unlikely
Male,35-44,Employed,No,,Other,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Comedy and Entertainment,Yes,Once a month,15 minutes to 30 minutes,Sometimes,By searching for specific content,2,No,,No,No,,Somewhat unlikely
Female,25-34,Employed,No,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Comedy and Entertainment, Daily Vlogs and Lifestyle, Fashion and Beauty",Yes,Once a month,Less than 15 minutes,No,Through platform recommendations,4,No,,No,No,,Neutral
Male,55-64,Self-employed,,,Instagram,Entertainment and Leisure,Late Night (12 am - 5 am),Smartphone,Like,"Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation, Football",Yes,Once a month,Less than 15 minutes,No,Through platform recommendations,3,No,,No,No,,Very unlikely
Prefer to self-describe,25-34,Employed,,,Facebook,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,"Sports and Fitness, Comedy and Entertainment, Movies, TV Shows, and Animation, Technology and Gaming",Yes,2-3 times a week,Less than 15 minutes,Yes,By searching for specific content,3,No,,Yes,No,,Very likely
Female,25-34,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Comedy and Entertainment, Educational Content",Yes,Once a day,15 minutes to 30 minutes,Yes,Through platform recommendations,1,No,,No,No,,Very unlikely
Female,25-34,Employed,,,TikTok,Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Share,"Food and Travel, Comedy and Entertainment, Educational Content",Yes,2-3 times a day,15 minutes to 30 minutes,Sometimes,Through platform recommendations,1,No,,No,No,,Very unlikely
Female,55-64,Employed,No,,YouTube (shorts),Learning and Education,Late Night (12 am - 5 am),Smartphone,I just view and learn,"Food and Travel, Educational Content",No,2-3 times a month,15 minutes to 30 minutes,Sometimes,By searching for specific content,3,No,,No,No,,Somewhat unlikely
Female,25-34,Unemployed,No,Undergraduate,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Laptop/Desktop,Share,Comedy and Entertainment,"Yes, No",Once a month,15 minutes to 30 minutes,Sometimes,"Through platform recommendations, Via social shares by friends or family, By searching for specific content, By exploring trending sections",2,No,,No,No,,Somewhat unlikely
Female,18-24,Employed,,,Instagram,Entertainment and Leisure,Evening 5 pm - 12 am),Tablet,Like,"Food and Travel, Daily Vlogs and Lifestyle",No,,,Sometimes,"Through platform recommendations, By searching for specific content, By exploring trending sections",4,No,,Yes,Yes,Once,Very likely
Male,65+,Self-employed,No,,YouTube (shorts),Entertainment and Leisure,Morning (5 am - 12 pm),Smart TV,Like,"Daily Vlogs and Lifestyle, Movies, TV Shows, and Animation, Educational Content, Technology and Gaming",Yes,Once a month,30 minutes to 1 hour,Yes,Through platform recommendations,4,Yes,Once a month,Yes,Yes,Once,Somewhat likely
Male,45-54,Self-employed,No,,YouTube (shorts),Entertainment and Leisure,Evening 5 pm - 12 am),Smartphone,Like,Sports and Fitness,No,,,Sometimes,By searching for specific content,4,No,,Yes,No,,Neutral
